puzzle_id,fen,rating,phase,fullmove_number,moves,rating_deviation,popularity,nb_plays,themes,piece_count,major_pieces,difficulty,phase_source,heuristic_phase
ysaXK,rnb1kb1r/pp2pppp/5n2/2B5/8/2N5/PP2PPPP/3RKBNR b Kkq - 0 7,1430,opening,7,b8c6 c3b5 c8d7 b5c7 e8d8 c7a8,74,94,25324,advantage fork long opening,26,14,medium,heuristic,opening
hBRzO,r2qkb1r/pp3ppp/2n1p3/1B6/3Pp3/P3BQ2/1PP2PPP/R3K2R w KQkq - 0 11,1342,opening,11,f3e4 d8a5 c2c3 a5b5,74,97,23496,advantage fork middlegame short,26,12,medium,heuristic,opening
w7g3N,r1b1kb1r/pp2qppp/2p2n2/4p3/2B4Q/2N5/PPP2PPP/R1B2RK1 b kq - 1 10,1676,opening,10,g7g6 c1g5 f8g7 c3e4,74,87,1277,crushing opening short,27,14,medium,heuristic,opening
PHbbB,r3kb1r/p2p1pp1/1p2p1qp/3bPn2/2N5/2P1PN2/PP3PPP/R2QKB1R w KQkq - 5 12,1645,opening,12,f1d3 g6g2 h1g1 g2f3 d1f3 d5f3,74,95,2222,crushing long opening,29,14,medium,heuristic,opening
zePJp,r2qk2r/2p1bppp/p1npbn2/1p6/3pP3/1BN2N1P/PPP2PP1/R1BQ1RK1 w kq - 0 10,1691,opening,10,f3d4 c6d4 d1d4 c7c5 d4e3 c5c4,73,94,5263,crushing long opening,31,16,medium,heuristic,opening
LeEft,r1bq1rk1/ppp1bppp/5n2/3Nn3/2Q5/4P3/PPPP1PPP/R1B1KBNR w KQ - 5 9,1563,opening,9,c4d4 d8d5 d4d5 f6d5,74,88,155,opening,30,16,medium,theme,opening
GV93W,r2qk1nr/p1p1bpp1/1pn1b2p/3p2P1/7P/1Q6/PPP1PPB1/RNB1K1NR w KQkq - 0 9,1390,opening,9,b3c3 e7b4 c1d2 b4c3,74,77,170,crushing opening pin short,30,16,medium,heuristic,opening
41VZV,r3k2r/pbpq1pbp/1pnp1np1/4p1B1/4P3/2PP2QP/PP1NBPP1/R3K1NR b KQkq - 3 10,1628,opening,10,e8c8 g5f6 g7f6 e2g4 c8b8 g4d7,73,95,24564,crushing long middlegame pin,32,16,medium,heuristic,opening
46WgA,r2qr1k1/pp2bbpp/5p2/3n4/6PN/7P/PP3PB1/R1BQR1K1 b - - 2 17,1474,opening,17,e7c5 e1e8 d8e8 g2d5 a8d8 d5f7,74,95,7774,opening,24,14,medium,theme,middlegame
LyOqz,r2qk2r/pbpn1pp1/1p1b1n1p/3Np3/2P1P3/3B1N1P/PP3PP1/R1BQR1K1 w kq - 2 12,1338,opening,12,f3h4 f6d5 c4d5 d8h4,74,96,15844,advantage discoveredattack opening short,30,16,medium,heuristic,opening
QjK1A,r2q3r/ppp2kpp/2n2n2/4B3/1b1P2b1/2N2N2/PPP3PP/R2Q1RK1 b - - 0 11,1537,opening,11,c6e5 f3e5 f7e7 e5g4,74,84,169,advantage middlegame short,26,15,medium,heuristic,opening
oCHyz,1rb2rk1/p3ppbp/1qpp1np1/8/4PP2/2NB3P/PPPB2P1/R2Q1R1K b - - 2 12,1662,opening,12,b6b2 a1b1 b2b1 c3b1,74,97,3844,advantage master middlegame short,28,14,medium,heuristic,opening
a8SyN,rn1qk1nr/2ppBppp/p3p3/7Q/2BP4/4P3/PP3PbP/RN2K1NR b KQkq - 0 8,1392,opening,8,e8e7 h5g5 g8f6 g5g2,74,98,4677,opening,28,15,medium,theme,opening
p6i36,1r1qkb1r/pp3ppp/5n2/3p1b2/4p3/2N4P/PP3PP1/2RQKBNR b Kk - 1 10,1412,opening,10,f8b4 d1a4 f5d7 a4b4,74,96,8303,opening,26,14,medium,theme,opening
5fP4j,rn1q1rk1/pbp2pbp/1p2pnp1/3pN1B1/3P4/2PB1Q2/PP3PPP/RN2R1K1 b - - 3 11,1456,opening,11,b8d7 e5d7 d8d7 g5f6 g7f6 f3f6,74,95,26795,advantage long opening,31,16,medium,heuristic,opening
CEUVQ,rnbq1b1r/pp2p1k1/2p2n1p/4NPp1/3P4/8/PPP3PP/RNBQ1RK1 b - - 0 10,1644,opening,10,f6e4 d1h5 d8d4 g1h1 e4f2 f1f2,74,96,5749,opening,28,15,medium,theme,opening
5w7cg,r1b1kb1r/pp3ppp/4p3/q2p2N1/1n1P4/2NBP3/PPQ2PPP/R3K2R w KQkq - 2 11,1648,opening,11,d3b5 a5b5 c3b5 b4c2,74,95,9817,crushing middlegame short,28,14,medium,heuristic,opening
ghb4j,r1bqk2r/pp2ppbp/2n2np1/2N5/5P2/1P2pN2/PBPP2PP/R2QKB1R w KQkq - 0 9,1520,opening,9,d2e3 d8a5 d1d2 a5c5,74,53,191,advantage fork master opening short,30,16,medium,heuristic,opening
Fw7Y6,r2qkb1r/1p1bpppp/p1n5/3P4/Q1P5/8/PP3PPP/RNB1K1NR w KQkq - 1 10,1673,opening,10,d5c6 d7c6 a4b3 c6g2,74,95,4495,opening,27,14,medium,theme,opening
1yU3J,2kr1b1r/ppp2ppp/2p2n2/4q2b/4PP2/2NB4/PPP3PP/R1BQ1R1K b - - 0 11,1438,opening,11,h5d1 f4e5 d1c2 d3c2,74,88,458,opening,28,14,medium,theme,opening
DxOzA,r1b1k1nr/pp1p1ppp/n1p1p3/8/1BP5/3P1NP1/Pq2PPBP/RN1QK2R b KQkq - 0 7,1447,opening,7,b2a1 b4c3 a1a2 c3g7,74,95,14971,crushing opening short,30,15,medium,heuristic,opening
9N22T,rn1qk2r/2pbnpbp/p3p1p1/3p4/QP1P4/2PBPN2/3N1PPP/R1B2RK1 w kq - 1 11,1359,opening,11,d3b5 d7b5 a4b5 a6b5,74,84,512,crushing fork opening short,30,16,medium,heuristic,opening
QuYdF,r2qk2r/pb3ppp/2nbp3/1B1p4/8/3P1N2/PPP2PPP/R1BQK2R w KQkq - 2 11,1521,opening,11,c1g5 d8a5 c2c3 a5b5,74,80,135,advantage fork opening short,27,14,medium,heuristic,opening
Z2MnF,r1bq1rk1/pp1pppbp/2n2np1/6B1/3NP3/2N5/PPP1BPPP/R2Q1RK1 b - - 5 8,1675,opening,8,e7e6 d4c6 b7c6 e4e5,73,95,18827,advantage opening short,30,16,medium,heuristic,opening
wNiVt,r1bq1rk1/1p1nb1pp/p1p1p3/3p4/3PnB2/2N2N1P/PPP1BPP1/R2Q1RK1 w - - 1 11,1432,opening,11,c3e4 d5e4 f4h2 e4f3,74,82,113,advantage opening short,30,16,medium,heuristic,opening
FwX2Y,r1b2rk1/p1pp1pp1/2p1qn1p/8/4PB2/2P3P1/P1P2PBP/R2Q1RK1 b - - 1 12,1619,opening,12,f6e4 f1e1 d7d5 f2f3,74,80,1613,advantage middlegame short,26,12,medium,heuristic,opening
ar1xp,rn1q1rk1/ppp2ppp/3b4/3pNp2/3PnB2/4PP2/PPPN2PP/R2QK2R b KQ - 0 9,1367,opening,9,d8h4 g2g3 h4e7 f3e4,74,95,21137,advantage defensivemove master opening short,30,14,medium,heuristic,opening
eid1a,rn1qk1nr/pbpp1ppp/1p2p3/8/2PP4/P2B1N2/2P2PPP/R1BQK2R b KQkq - 0 8,1592,opening,8,d8f6 c1g5 b7f3 g5f6 f3d1 f6g7,74,94,10870,advantage long opening sacrifice trappedpiece,29,14,medium,heuristic,opening
MAcaR,r1bq3r/ppp3pk/2nb3p/3p3Q/4p3/3P3N/PPP2PPP/R1B1NRK1 b - - 0 12,1347,opening,12,e4d3 h3g5 d8g5 c1g5,74,96,5901,opening,28,14,medium,theme,opening
SsL97,r1b1k2r/ppp2p1p/2pb4/6pq/N1B1P1nP/5PP1/PPPPQ3/R1B2RK1 b kq - 0 12,1597,opening,12,d6g3 f3g4 h5h4 c4f7,74,86,279,advantage attackingf2f7 middlegame short,29,14,medium,heuristic,opening
a8TDk,rnb1kb1r/pp4pp/5n2/8/4p3/3B1N2/PPP2PPP/R1BKR3 b kq - 1 12,1576,opening,12,c8g4 d3e4 f6e4 e1e4 f8e7 e4g4,74,97,1814,opening,24,13,medium,theme,opening
qtt0l,2kr1b1r/ppp2ppp/2n2n2/4p3/8/2NB4/PP1K1PPP/R1B1N2R w - - 0 11,1501,opening,11,d2c2 c6b4 c2b3 b4d3 e1d3 d8d3,74,65,183,advantage deflection long opening,25,13,medium,heuristic,opening
os84z,r2q1rk1/pp1n1ppp/2p2p2/8/2PP1Q2/3B4/PP3PPP/R4RK1 b - - 0 12,1685,opening,12,d8b8 f4f5 g7g6 f5d7,73,94,10015,crushing middlegame short,24,10,medium,heuristic,opening
